CAPA_ID;MODULO;NOMBRE_CAPA;INSTITUCION;PRODUCTO;ANIO_VERSION;ESCALA_RESOLUCION;URL;LICENCIA;NOTA_PROCESAMIENTO;;;;
fabdem_dem;DelimitaciÃ³n y morfometrÃ­a;Modelo digital de elevaciÃ³n FABDEM;University of Bristol;FABDEM v1.2;2023;1 arc-second (~30 m);;;"Teselas mosaificadas según cuenca; recorte y/o mosaico A3; reproyección automática a UTM para exportación";;;;
geologia_normalizada_disuelto;Medio fÃ­sico;GeologÃ­a;Instituto Geológico, Minero y Metalúrgico (INGEMMET);Carta Geológica Nacional Digital Estandarizada e Integrada;2014-2016;1:100 000;https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_GEOLOGIA_100K_INTEGRADA/MapServer;"No especificada en el servicio; © INGEMMET";"Normalizada por código de unidad geológica y disuelta por clase; preparada en formato vectorial para consulta y exportación por cuenca.";;;;
geomorfologia_normalizada_disuelto;Medio fÃ­sico;GeomorfologÃ­a;Instituto Geológico, Minero y Metalúrgico (INGEMMET);Mapa Geomorfológico del Perú / Geomorfología por Regiones;2012-2015;1:250 000;https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_GEOMORFOLOGIA/MapServer;"No especificada en el servicio; © INGEMMET - DGAR";"Subunidades geomorfológicas normalizadas por código y disueltas por clase; preparadas para consulta, recorte y exportación por cuenca.";;;;
suelos_normalizada_disuelto;Medio fÃ­sico;Suelos;Instituto Nacional de Recursos Naturales (INRENA), Ministerio de Agricultura;Mapa de Suelos del Perú;1996;1:5 000 000;https://winlmprap09.midagri.gob.pe/winlmprap14/rest/services/SERV_MAPA_SUELOS/MapServer/0;No especificada;"Unidades de suelo normalizadas a partir del código SIMSUELO y disueltas por clase; preparadas para consulta, recorte y exportación por cuenca.";;;;
hidrogeologia_normalizada_disuelto;Medio fÃ­sico;HidrogeologÃ­a;Instituto Geológico, Minero y Metalúrgico (INGEMMET);Mapa Hidrogeológico Nacional;2003;1:2 000 000;https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_HIDROGEOLOGIA_PERU/MapServer/4;"No especificada; © INGEMMET";"Unidades hidrogeológicas normalizadas por clase y disueltas por categoría; preparadas para consulta, recorte y exportación por cuenca.";;;;
clima_normalizada_disuelto;Clima y superficie;Clima;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Mapa de Clasificación Climática del Perú;2020;1:400 000;https://idesep.senamhi.gob.pe/geonetwork/srv/api/records/9f18b911-64af-4e6b-bbef-272bb20195e4/attachments/clasif_clima_peru.zip;No especificada en el metadato consultado;"Tipos climáticos normalizados por simbología y disueltos por clase; preparados para consulta, recorte y exportación por cuenca.";;;;
cobertura_normalizada_disuelto;Clima y superficie;Cobertura y uso del suelo;Instituto Nacional de Recursos Naturales (INRENA), Ministerio de Agricultura;Mapa de Cobertura Vegetal y Uso de la Tierra del Perú - Base de Datos de Recursos Naturales e Infraestructura;2000;1:250 000;https://www.geogpsperu.com/2023/03/uso-actual-de-suelos-tierras-cobertura.html;No especificada;"Unidades de cobertura vegetal y uso de la tierra normalizadas por símbolo y disueltas por clase; preparadas para consulta, recorte y exportación por cuenca.";;;;
CUM_normalizada_disuelto;Clima y superficie;Capacidad de uso mayor;Oficina Nacional de Evaluación de Recursos Naturales (ONERN);Mapa de Capacidad de Uso Mayor de las Tierras del Perú;1981;1:1 000 000;https://esdac.jrc.ec.europa.eu/content/mapa-de-capacidad-de-uso-mayor-de-las-tierras-del-peru-land-use-map-peru-1;No especificada;"Unidades de capacidad de uso mayor normalizadas por símbolo y disueltas por clase; preparadas para consulta, recorte y exportación por cuenca.";;;;
vida_normalizada_disuelto;Clima y superficie;Zonas de vida;Oficina Nacional de Evaluación de Recursos Naturales (ONERN);Mapa Ecológico del Perú;1976;1:1 000 000;https://esdac.jrc.ec.europa.eu/content/mapa-ecologico-del-peru-ecological-map-peru-1?utm_source=chatgpt.com;No especificada;"Zonas de vida de Holdridge normalizadas por clase y disueltas por categoría; preparadas para consulta, recorte y exportación por cuenca.";;;;
cuencas_normalizada_disuelto;Contexto territorial;Unidades hidrogrÃ¡ficas;Instituto Nacional de Recursos Naturales (INRENA) / Autoridad Nacional del Agua (ANA);Delimitación y Codificación de Unidades Hidrográficas del Perú - Método Pfafstetter;2008;1:100 000;http://geo.ana.gob.pe/arcgis/services/SERV_UNIDADES_HIDROGRAFICAS/MapServer/WMSServer?;No especificada para el servicio cartográfico;"Unidades hidrográficas normalizadas por código Pfafstetter y disueltas por unidad; preparadas para consulta, recorte y exportación por cuenca.";;;;
