"BLOCK_ID","ASSET_TYPE","STRIPE_ID","ROW_START","ROW_END","NROWS","NCOLS","SOURCE_ID","RELATIVE_PATH","SIZE_BYTES","REMOTE_URL"
"BLOCK_001","hydrography",NA,NA,NA,NA,NA,"SOURCE_1","core/BLOCK_001/hydrography_block.gpkg",20086784,""
"BLOCK_001","index_metadata",NA,NA,NA,NA,NA,"SOURCE_1","core/BLOCK_001/index/index_metadata.rds",1353,""
"BLOCK_001","reverse",1,1,256,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00001.tif",2067984,""
"BLOCK_001","reverse",2,257,512,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00002.tif",2067766,""
"BLOCK_001","reverse",3,513,768,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00003.tif",2067384,""
"BLOCK_001","reverse",4,769,1024,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00004.tif",2067664,""
"BLOCK_001","reverse",5,1025,1280,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00005.tif",2067072,""
"BLOCK_001","reverse",6,1281,1536,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00006.tif",2079282,""
"BLOCK_001","reverse",7,1537,1792,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00007.tif",2079514,""
"BLOCK_001","reverse",8,1793,2048,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00008.tif",2084238,""
"BLOCK_001","reverse",9,2049,2304,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00009.tif",2082682,""
"BLOCK_001","reverse",10,2305,2560,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00010.tif",2076504,""
"BLOCK_001","reverse",11,2561,2816,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00011.tif",2089468,""
"BLOCK_001","reverse",12,2817,3072,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00012.tif",2062712,""
"BLOCK_001","reverse",13,3073,3328,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00013.tif",2039848,""
"BLOCK_001","reverse",14,3329,3584,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00014.tif",2016000,""
"BLOCK_001","reverse",15,3585,3840,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00015.tif",2757102,""
"BLOCK_001","reverse",16,3841,4096,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00016.tif",2835450,""
"BLOCK_001","reverse",17,4097,4352,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00017.tif",2837448,""
"BLOCK_001","reverse",18,4353,4608,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00018.tif",2830050,""
"BLOCK_001","reverse",19,4609,4864,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00019.tif",2817578,""
"BLOCK_001","reverse",20,4865,5120,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00020.tif",2854692,""
"BLOCK_001","reverse",21,5121,5376,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00021.tif",2833186,""
"BLOCK_001","reverse",22,5377,5632,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00022.tif",2846288,""
"BLOCK_001","reverse",23,5633,5888,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00023.tif",2841692,""
"BLOCK_001","reverse",24,5889,6144,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00024.tif",2870440,""
"BLOCK_001","reverse",25,6145,6400,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00025.tif",2877420,""
"BLOCK_001","reverse",26,6401,6656,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00026.tif",2855736,""
"BLOCK_001","reverse",27,6657,6912,256,25200,"SOURCE_1","core/BLOCK_001/index/reverse_stripes/reverse_00027.tif",2844354,""
